App,Category,Rating,Reviews,Size,Installs,Type,Content Rating
Wells Fargo Mobile,FINANCE,4.4,250719,37M,"10,000,000+",Free,Everyone
Capital One® Mobile,FINANCE,4.6,510401,79M,"10,000,000+",Free,Everyone
Amex Mobile,FINANCE,4.3,24729,32M,"1,000,000+",Free,Everyone
Citi Mobile®,FINANCE,4,78306,46M,"5,000,000+",Free,Everyone
Navy Federal Credit Union,FINANCE,4.4,43313,40M,"1,000,000+",Free,Everyone
Chase Mobile,FINANCE,4.6,1374549,32M,"10,000,000+",Free,Everyone
HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,"10,000,000+",Free,Everyone
Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",Free,Everyone
McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",Free,Everyone
Easy and Fast Recipes,FOOD_AND_DRINK,,95,12M,"50,000+",Free,Everyone
Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13M,"10,000,000+",Free,Everyone
DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13M,"1,000,000+",Free,Everyone
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,,82,4.9M,"10,000+",Free,Everyone
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",Free,Everyone
Delicious Recipes,FOOD_AND_DRINK,4.7,129737,Varies with device,"1,000,000+",Free,Teen
Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",Free,Everyone
Pastry & Cooking (Without Net),FOOD_AND_DRINK,4.7,6118,Varies with device,"1,000,000+",Free,Everyone
Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473,14M,"500,000+",Free,Everyone
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64M,"10,000,000+",Free,Everyone
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4M,"500,000+",Free,Everyone
Popeyes® App,FOOD_AND_DRINK,3.7,61,11M,"50,000+",Free,Everyone
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66M,"1,000,000+",Free,Everyone
Pyaterochka,FOOD_AND_DRINK,3.1,8412,Varies with device,"1,000,000+",Free,Everyone
Refreshing app Free application that can use deal coupons,FOOD_AND_DRINK,3.5,10741,41M,"1,000,000+",Free,Everyone
Simple Recipes,FOOD_AND_DRINK,4.7,3803,15M,"500,000+",Free,Everyone
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,"5,000,000+",Free,Everyone
Panera Bread,FOOD_AND_DRINK,4.2,10159,36M,"1,000,000+",Free,Everyone
Chick-fil-A,FOOD_AND_DRINK,4.3,28008,17M,"5,000,000+",Free,Everyone
hellofood - Food Delivery,FOOD_AND_DRINK,4,43614,25M,"1,000,000+",Free,Everyone
Starbucks,FOOD_AND_DRINK,4.5,455377,35M,"10,000,000+",Free,Everyone
Easy and quick desserts,FOOD_AND_DRINK,4.6,1398,10M,"100,000+",Free,Everyone 10+
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,Everyone
Chef - Recipes & Cooking,FOOD_AND_DRINK,4.1,32405,12M,"5,000,000+",Free,Everyone
"Delivery Club-food delivery: pizza, sushi, burger, salad",FOOD_AND_DRINK,4.3,151080,Varies with device,"5,000,000+",Free,Everyone
HungerStation,FOOD_AND_DRINK,3.8,22513,11M,"1,000,000+",Free,Everyone
Delivery yogi.,FOOD_AND_DRINK,4.4,90042,Varies with device,"10,000,000+",Free,Everyone
Delivery trough - delivery trough delivery trough,FOOD_AND_DRINK,4.3,58316,Varies with device,"5,000,000+",Free,Everyone
Dr. Oetker recipe ideas,FOOD_AND_DRINK,4.2,8509,17M,"1,000,000+",Free,Everyone
SONIC Drive-In,FOOD_AND_DRINK,4.3,19314,43M,"1,000,000+",Free,Everyone
SUBWAY®,FOOD_AND_DRINK,3.8,21314,41M,"1,000,000+",Free,Everyone
GialloZafferano: Recipes,FOOD_AND_DRINK,4.3,30224,Varies with device,"1,000,000+",Free,Everyone
Dairy Queen,FOOD_AND_DRINK,3.7,731,43M,"100,000+",Free,Everyone
9th stage,FOOD_AND_DRINK,4.5,454,16M,"100,000+",Free,Everyone
OpenRice,FOOD_AND_DRINK,3.6,14952,39M,"1,000,000+",Free,Everyone
SarashpazPapion (Cooking with Chef Bowls),FOOD_AND_DRINK,4.8,1250,13M,"50,000+",Free,Everyone
Little Caesars,FOOD_AND_DRINK,3.3,1726,30M,"500,000+",Free,Everyone
Recipes Pastries and homemade pies More than 500 recipes for pastries,FOOD_AND_DRINK,4.7,14065,7.1M,"500,000+",Free,Everyone
Om Waleed Sweets,FOOD_AND_DRINK,4.6,556,23M,"100,000+",Free,Teen
Eat Fast Prepare "Without Internet",FOOD_AND_DRINK,4.6,4925,17M,"1,000,000+",Free,Everyone
Wendy’s – Food and Offers,FOOD_AND_DRINK,3.4,6507,18M,"1,000,000+",Free,Everyone
My Recipes Cookbook : RecetteTek,FOOD_AND_DRINK,4.6,11707,Varies with device,"100,000+",Free,Everyone
Healthy Recipes Free,FOOD_AND_DRINK,4,1077,17M,"100,000+",Free,Everyone
Cookbook Recipes,FOOD_AND_DRINK,4.1,46539,Varies with device,"5,000,000+",Free,Teen
ChefTap Recipes & Grocery List,FOOD_AND_DRINK,4.5,9066,15M,"500,000+",Free,Everyone
Recipe Keeper,FOOD_AND_DRINK,4.4,1962,22M,"100,000+",Free,Everyone
My CookBook (Recipe Manager),FOOD_AND_DRINK,4.5,22071,Varies with device,"1,000,000+",Free,Everyone
50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,4,196,9.0M,"10,000+",Free,Everyone 10+
Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7.2M,"50,000+",Free,Everyone
Allrecipes Dinner Spinner,FOOD_AND_DRINK,4.5,61881,Varies with device,"5,000,000+",Free,Everyone
My CookBook Pro (Ad Free),FOOD_AND_DRINK,4.6,2129,Varies with device,"10,000+",Paid,Everyone
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3M,"50,000+",Paid,Everyone
Yummly Recipes & Shopping List,FOOD_AND_DRINK,4.5,91359,27M,"1,000,000+",Free,Everyone
Kitchen Stories - Recipes & Cooking,FOOD_AND_DRINK,4.6,22015,Varies with device,"1,000,000+",Free,Everyone
Cookpad,FOOD_AND_DRINK,4.5,131569,8.2M,"10,000,000+",Free,Everyone
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,76M,"1,000,000+",Free,Teen
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875,22M,"1,000,000+",Free,Everyone
Instacart: Grocery Delivery,FOOD_AND_DRINK,4.4,17071,Varies with device,"1,000,000+",Free,Everyone
OpenTable: Restaurants Near Me,FOOD_AND_DRINK,4.6,90242,19M,"5,000,000+",Free,Everyone
Foursquare City Guide,FOOD_AND_DRINK,4.1,483960,Varies with device,"10,000,000+",Free,Teen
Zomato - Restaurant Finder and Food Delivery App,FOOD_AND_DRINK,4.3,511228,Varies with device,"10,000,000+",Free,Everyone
Munchery: Chef Crafted Fresh Food Delivered,FOOD_AND_DRINK,3.9,464,28M,"50,000+",Free,Everyone
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,"5,000,000+",Free,Everyone
"delivery.com: Order Food, Alcohol & Laundry",FOOD_AND_DRINK,4.1,1920,Varies with device,"100,000+",Free,Everyone
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875,22M,"1,000,000+",Free,Everyone
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,Everyone
Eat24 Food Delivery & Takeout,FOOD_AND_DRINK,4.3,40116,Varies with device,"1,000,000+",Free,Everyone
BeyondMenu Food Delivery,FOOD_AND_DRINK,4.7,51517,Varies with device,"1,000,000+",Free,Everyone
EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25M,"100,000+",Free,Everyone
Pizza Hut,FOOD_AND_DRINK,4.4,321134,30M,"10,000,000+",Free,Everyone
Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8.5M,"100,000+",Free,Everyone
DoorDash - Food Delivery,FOOD_AND_DRINK,4.5,104504,Varies with device,"1,000,000+",Free,Everyone
Chick-fil-A,FOOD_AND_DRINK,4.3,28009,17M,"5,000,000+",Free,Everyone
Uber Eats: Local Food Delivery,FOOD_AND_DRINK,4.2,333208,34M,"10,000,000+",Free,Everyone
Seamless Food Delivery/Takeout,FOOD_AND_DRINK,4.5,35218,34M,"1,000,000+",Free,Everyone
Talabat: Food Delivery,FOOD_AND_DRINK,4.5,116403,Varies with device,"5,000,000+",Free,Everyone
TheFork - Restaurants booking and special offers,FOOD_AND_DRINK,4.3,37517,17M,"5,000,000+",Free,Everyone
foodpanda - Local Food Delivery,FOOD_AND_DRINK,4,292969,16M,"10,000,000+",Free,Everyone
Zomato - Restaurant Finder and Food Delivery App,FOOD_AND_DRINK,4.3,511420,Varies with device,"10,000,000+",Free,Everyone
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15M,"10,000,000+",Free,Everyone
Step Counter - Calorie Counter,HEALTH_AND_FITNESS,4,1577,2.2M,"500,000+",Free,Everyone
Lose Belly Fat in 30 Days - Flat Stomach,HEALTH_AND_FITNESS,4.9,38098,11M,"5,000,000+",Free,Everyone
Pedometer - Step Counter Free & Calorie Burner,HEALTH_AND_FITNESS,4.8,31139,6.9M,"1,000,000+",Free,Everyone
Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272337,13M,"10,000,000+",Free,Everyone
Lose Weight in 30 Days,HEALTH_AND_FITNESS,4.8,220125,11M,"10,000,000+",Free,Everyone
Pedometer,HEALTH_AND_FITNESS,4.4,400592,2.9M,"10,000,000+",Free,Everyone
LG Health,HEALTH_AND_FITNESS,3.3,20098,25M,"10,000,000+",Free,Everyone
Step Counter - Pedometer Free & Calorie Counter,HEALTH_AND_FITNESS,4.7,117925,7.0M,"10,000,000+",Free,Everyone
"Pedometer, Step Counter & Weight Loss Tracker App",HEALTH_AND_FITNESS,4.6,548021,27M,"10,000,000+",Free,Everyone
Sportractive GPS Running Cycling Distance Tracker,HEALTH_AND_FITNESS,4.8,48276,7.5M,"1,000,000+",Free,Everyone
30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,4.8,471036,Varies with device,"10,000,000+",Free,Everyone
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15M,"1,000,000+",Free,Everyone
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.5,706,9.4M,"100,000+",Free,Everyone
Buttocks and Abdomen,HEALTH_AND_FITNESS,4.4,465,6.4M,"500,000+",Free,Everyone
Walking for Weight Loss - Walk Tracker,HEALTH_AND_FITNESS,4.5,644,5.5M,"100,000+",Free,Everyone
Running & Jogging,HEALTH_AND_FITNESS,4.5,6238,3.9M,"500,000+",Free,Everyone
Walk with Map My Walk,HEALTH_AND_FITNESS,4.5,144040,55M,"5,000,000+",Free,Everyone
Sleep Sounds,HEALTH_AND_FITNESS,4.8,51227,28M,"1,000,000+",Free,Everyone
Fitbit,HEALTH_AND_FITNESS,3.9,357417,Varies with device,"10,000,000+",Free,Everyone
Lose Belly Fat-Home Abs Fitness Workout,HEALTH_AND_FITNESS,4.6,199,8.8M,"50,000+",Free,Everyone
Runtastic Running App & Mile Tracker,HEALTH_AND_FITNESS,4.5,827597,Varies with device,"10,000,000+",Free,Everyone
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4.0M,"500,000+",Free,Everyone
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6.9M,"100,000+",Free,Everyone
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11M,"1,000,000+",Free,Everyone
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708674,Varies with device,"10,000,000+",Free,Everyone
Aunjai i lert u,HEALTH_AND_FITNESS,4.2,1140,5.5M,"500,000+",Free,Teen
Garmin Connect™,HEALTH_AND_FITNESS,3.9,232153,Varies with device,"10,000,000+",Free,Everyone
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15M,"5,000,000+",Free,Everyone
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4.3M,"1,000,000+",Free,Everyone
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873516,Varies with device,"50,000,000+",Free,Everyone
Six Packs for Man–Body Building with No Equipment,HEALTH_AND_FITNESS,4.6,2880,7.1M,"100,000+",Free,Everyone
Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270267,58M,"5,000,000+",Free,Everyone
Endomondo - Running & Walking,HEALTH_AND_FITNESS,4.5,559186,Varies with device,"10,000,000+",Free,Everyone
Running Distance Tracker +,HEALTH_AND_FITNESS,4.7,77777,Varies with device,"1,000,000+",Free,Everyone
The TK-App - everything under control,HEALTH_AND_FITNESS,4.5,8642,18M,"100,000+",Free,Everyone
Runkeeper - GPS Track Run Walk,HEALTH_AND_FITNESS,4.5,501144,Varies with device,"10,000,000+",Free,Everyone
Walking: Pedometer diet,HEALTH_AND_FITNESS,3.7,1861,1.5M,"1,000,000+",Free,Everyone
Recipes for hair and face tried,HEALTH_AND_FITNESS,4.5,1203,6.5M,"500,000+",Free,Everyone
Abs Workout - 30 Days Fitness App for Six Pack Abs,HEALTH_AND_FITNESS,4.6,299,11M,"100,000+",Free,Everyone
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,"10,000,000+",Free,Everyone
Keep Trainer - Workout Trainer & Fitness Coach,HEALTH_AND_FITNESS,4.7,14810,Varies with device,"1,000,000+",Free,Everyone
Run with Map My Run,HEALTH_AND_FITNESS,4.5,183662,57M,"5,000,000+",Free,Everyone
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27393,59M,"1,000,000+",Free,Mature 17+
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48M,"500,000+",Free,Everyone
PumpUp — Fitness Community,HEALTH_AND_FITNESS,4,49479,57M,"1,000,000+",Free,Teen
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13M,"1,000,000+",Free,Everyone
Running Weight Loss Walking Jogging Hiking FITAPP,HEALTH_AND_FITNESS,4.4,20812,Varies with device,"1,000,000+",Free,Teen
"Strava Training: Track Running, Cycling & Swimming",HEALTH_AND_FITNESS,4.5,328469,Varies with device,"10,000,000+",Free,Teen
Workout Trainer: fitness coach,HEALTH_AND_FITNESS,4.2,100406,Varies with device,"10,000,000+",Free,Everyone
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31M,"5,000,000+",Free,Everyone
StrongLifts 5x5 Workout Gym Log & Personal Trainer,HEALTH_AND_FITNESS,4.9,66791,10M,"1,000,000+",Free,Everyone
Run with Map My Run,HEALTH_AND_FITNESS,4.5,183669,57M,"5,000,000+",Free,Everyone
7 Minute Workout,HEALTH_AND_FITNESS,4.5,399009,Varies with device,"10,000,000+",Free,Everyone
Workout Tracker & Gym Trainer - Fitness Log Book,HEALTH_AND_FITNESS,4.6,5420,21M,"500,000+",Free,Everyone
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,"10,000,000+",Free,Everyone
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93M,"10,000,000+",Free,Everyone
Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60M,"1,000,000+",Free,Everyone
"JEFIT Workout Tracker, Weight Lifting, Gym Log App",HEALTH_AND_FITNESS,4.5,60096,27M,"5,000,000+",Free,Teen
Map My Ride GPS Cycling Riding,HEALTH_AND_FITNESS,4.5,106547,54M,"1,000,000+",Free,Everyone
Daily Workouts - Exercise Fitness Routine Trainer,HEALTH_AND_FITNESS,4.4,134195,Varies with device,"10,000,000+",Free,Everyone
Google Fit - Fitness Tracking,HEALTH_AND_FITNESS,3.9,249855,Varies with device,"10,000,000+",Free,Everyone
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396,59M,"1,000,000+",Free,Mature 17+
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708710,Varies with device,"10,000,000+",Free,Everyone
Sworkit: Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,109756,78M,"5,000,000+",Free,Everyone
Map My Fitness Workout Trainer,HEALTH_AND_FITNESS,4.4,38343,55M,"1,000,000+",Free,Everyone
Sports Tracker Running Cycling,HEALTH_AND_FITNESS,4.5,190247,Varies with device,"5,000,000+",Free,Everyone
Runtastic Running App & Mile Tracker,HEALTH_AND_FITNESS,4.5,827651,Varies with device,"10,000,000+",Free,Everyone
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,"10,000,000+",Free,Everyone
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571,Varies with device,"1,000,000+",Free,Everyone
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,Everyone
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,Varies with device,"100,000+",Paid,Everyone
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43M,"1,000,000+",Free,Everyone
Free Meditation - Take a Break,HEALTH_AND_FITNESS,4.2,1608,39M,"100,000+",Free,Everyone
Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4.2M,"1,000,000+",Free,Everyone
Yoga - Track Yoga,HEALTH_AND_FITNESS,4.5,7976,44M,"500,000+",Free,Everyone
My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45M,"500,000+",Free,Everyone
Relax with Andrew Johnson Lite,HEALTH_AND_FITNESS,4.3,2885,Varies with device,"100,000+",Free,Everyone
"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28M,"1,000,000+",Free,Everyone
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29M,"10,000+",Paid,Everyone
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12M,"500,000+",Free,Teen
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,Everyone
My Chakra Meditation 2,HEALTH_AND_FITNESS,4.3,1288,31M,"100,000+",Free,Everyone
Simply Yoga - Fitness Trainer for Workouts & Poses,HEALTH_AND_FITNESS,4.1,6826,Varies with device,"1,000,000+",Free,Everyone
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111450,Varies with device,"5,000,000+",Free,Everyone
Relax Melodies P: Sleep Sounds,HEALTH_AND_FITNESS,4.8,19543,Varies with device,"100,000+",Paid,Everyone
Relax Melodies: Sleep Sounds,HEALTH_AND_FITNESS,4.5,233243,Varies with device,"5,000,000+",Free,Everyone
Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20M,"500,000+",Free,Everyone
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,"10,000,000+",Free,Everyone
Yoga Studio: Mind & Body,HEALTH_AND_FITNESS,4.3,5499,94M,"100,000+",Free,Everyone
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,Everyone
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,Varies with device,"100,000+",Paid,Everyone
Pregnancy & Baby Tracker,HEALTH_AND_FITNESS,4.6,48286,Varies with device,"1,000,000+",Free,Everyone
My Cycles Period and Ovulation,HEALTH_AND_FITNESS,4.3,26652,41M,"1,000,000+",Free,Everyone
I’m Expecting - Pregnancy App,HEALTH_AND_FITNESS,4.6,71269,49M,"1,000,000+",Free,Everyone
The Bump Pregnancy Tracker,HEALTH_AND_FITNESS,4.6,20301,22M,"1,000,000+",Free,Everyone
My Days - Ovulation Calendar & Period Tracker ™,HEALTH_AND_FITNESS,4.5,93691,Varies with device,"5,000,000+",Free,Everyone
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23M,"1,000,000+",Free,Everyone
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28M,"1,000,000+",Free,Teen
Fertility Friend Ovulation App,HEALTH_AND_FITNESS,4.5,12955,7.2M,"1,000,000+",Free,Teen
Pregnancy Tracker,HEALTH_AND_FITNESS,4.1,2681,6.5M,"500,000+",Free,Everyone
Period Tracker,HEALTH_AND_FITNESS,4.5,325738,Varies with device,"10,000,000+",Free,Everyone
"Spot On Period, Birth Control, & Cycle Tracker",HEALTH_AND_FITNESS,4.6,4102,24M,"500,000+",Free,Everyone 10+
OvuView: Ovulation and Fertility,HEALTH_AND_FITNESS,4.5,40296,Varies with device,"1,000,000+",Free,Everyone
Period Tracker - Period Calendar Ovulation Tracker,HEALTH_AND_FITNESS,4.8,4559407,Varies with device,"100,000,000+",Free,Everyone
Period Tracker Clue: Period and Ovulation Tracker,HEALTH_AND_FITNESS,4.8,570242,20M,"10,000,000+",Free,Everyone
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,Varies with device,"50,000,000+",Free,Everyone
WomanLog Calendar,HEALTH_AND_FITNESS,4.5,121838,15M,"5,000,000+",Free,Everyone
Geocaching®,HEALTH_AND_FITNESS,4.1,62616,Varies with device,"5,000,000+",Free,Teen
Map My Hike GPS Hiking,HEALTH_AND_FITNESS,4.4,12858,55M,"500,000+",Free,Everyone
"ViewRanger - Hike, Ride or Walk",HEALTH_AND_FITNESS,4.2,34356,Varies with device,"1,000,000+",Free,Everyone
Runtastic Mountain Bike GPS Tracker,HEALTH_AND_FITNESS,4.5,50679,38M,"1,000,000+",Free,Everyone
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943,32M,"1,000,000+",Free,Everyone
Water Drink Reminder,HEALTH_AND_FITNESS,4.6,524299,Varies with device,"10,000,000+",Free,Everyone
"Zombies, Run! 5k Training (Free)",HEALTH_AND_FITNESS,4,267,Varies with device,"50,000+",Free,Teen
Tracks,HEALTH_AND_FITNESS,4.6,623,40M,"50,000+",Free,Everyone 10+
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396,59M,"1,000,000+",Free,Mature 17+
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708710,Varies with device,"10,000,000+",Free,Everyone
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571,Varies with device,"1,000,000+",Free,Everyone
"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",HEALTH_AND_FITNESS,4.6,117176,Varies with device,"5,000,000+",Free,Everyone
"Technutri - calorie counter, diet and carb tracker",HEALTH_AND_FITNESS,4.4,70416,23M,"5,000,000+",Free,Everyone
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1M,"1,000,000+",Free,Everyone
Fooducate Healthy Weight Loss & Calorie Counter,HEALTH_AND_FITNESS,4.4,14402,Varies with device,"1,000,000+",Free,Everyone
Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294,58M,"5,000,000+",Free,Everyone
Walk with Map My Walk,HEALTH_AND_FITNESS,4.5,144050,55M,"5,000,000+",Free,Everyone
Workout Trainer: fitness coach,HEALTH_AND_FITNESS,4.2,100406,Varies with device,"10,000,000+",Free,Everyone
My Diet Coach - Weight Loss Motivation & Tracker,HEALTH_AND_FITNESS,4.4,141163,Varies with device,"10,000,000+",Free,Everyone
Run with Map My Run,HEALTH_AND_FITNESS,4.5,183669,57M,"5,000,000+",Free,Everyone
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93M,"10,000,000+",Free,Everyone
Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60M,"1,000,000+",Free,Everyone
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,Varies with device,"50,000,000+",Free,Everyone
Endomondo - Running & Walking,HEALTH_AND_FITNESS,4.5,559262,Varies with device,"10,000,000+",Free,Everyone
Runkeeper - GPS Track Run Walk,HEALTH_AND_FITNESS,4.5,501144,Varies with device,"10,000,000+",Free,Everyone
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708753,Varies with device,"10,000,000+",Free,Everyone
Lose It! - Calorie Counter,HEALTH_AND_FITNESS,4.4,69395,Varies with device,"10,000,000+",Free,Everyone
Runtastic Running App & Mile Tracker,HEALTH_AND_FITNESS,4.5,827653,Varies with device,"10,000,000+",Free,Everyone
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,Everyone
10 Best Foods for You,HEALTH_AND_FITNESS,4,2490,3.8M,"500,000+",Free,Everyone 10+
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094,18M,"1,000,000+",Free,Everyone
My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57M,"1,000,000+",Free,Everyone
Calorie Counter - Macros,HEALTH_AND_FITNESS,4,3061,5.5M,"100,000+",Free,Everyone
Calorie Counter by FatSecret,HEALTH_AND_FITNESS,4.4,229210,Varies with device,"10,000,000+",Free,Everyone
Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,4.4,20547,5.7M,"1,000,000+",Free,Everyone
Lark - 24/7 Health Coach,HEALTH_AND_FITNESS,4.1,3405,51M,"100,000+",Free,Everyone
MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217,9.4M,"50,000+",Free,Teen
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,Everyone
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,"1,000,000+",Free,Everyone
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,Everyone
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,Varies with device,"50,000,000+",Free,Everyone
Lose It! - Calorie Counter,HEALTH_AND_FITNESS,4.4,69395,Varies with device,"10,000,000+",Free,Everyone
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,Everyone
10 Best Foods for You,HEALTH_AND_FITNESS,4,2490,3.8M,"500,000+",Free,Everyone 10+
Monitor Your Weight,HEALTH_AND_FITNESS,4.5,126017,4.3M,"5,000,000+",Free,Everyone
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094,18M,"1,000,000+",Free,Everyone
Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,4.4,20547,5.7M,"1,000,000+",Free,Everyone
Calorie Counter by FatSecret,HEALTH_AND_FITNESS,4.4,229214,Varies with device,"10,000,000+",Free,Everyone
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6M,"100,000+",Free,Everyone
Calorie Counter - Macros,HEALTH_AND_FITNESS,4,3061,5.5M,"100,000+",Free,Everyone
My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57M,"1,000,000+",Free,Everyone
Lark - 24/7 Health Coach,HEALTH_AND_FITNESS,4.1,3405,51M,"100,000+",Free,Everyone
Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294,58M,"5,000,000+",Free,Everyone
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,"1,000,000+",Free,Everyone
MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217,9.4M,"50,000+",Free,Teen
